speed,friction_coeff,SD
0.04,0.083,0.0008
0.06,0.083,0.0008
0.08,0.083,0.0014
0.1,0.083,0.0015
0.12,0.083,0.002
0.14,0.083,0.0021
0.16,0.083,0.0027
0.18,0.083,0.0029
0.2,0.083,0.0036
0.22,0.083,0.0041
0.24,0.083,0.0041
0.26,0.083,0.0058
0.04,0.071,0.0007
0.06,0.071,0.0008
0.08,0.071,0.0012
0.1,0.071,0.0013
0.12,0.071,0.0021
0.14,0.071,0.0023
0.16,0.071,0.0026
0.18,0.071,0.0029
0.2,0.071,0.0041
0.22,0.071,0.0043
0.24,0.071,0.0048
0.26,0.071,0.0055
0.04,0.541,0.0006
0.06,0.541,0.0009
0.08,0.541,0.0011
0.1,0.541,0.0012
0.12,0.541,0.0016
0.14,0.541,0.0019
0.16,0.541,0.0022
0.18,0.541,0.0024
0.2,0.541,0.0028
0.22,0.541,0.0037
0.24,0.541,0.0039
0.26,0.541,0.0041